asset,experiment,agent_type,label,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
BTC,ablation,baseline,btc/baseline/20260313_124941,0.8788064743014026,2.2499296334913734,3.068136888110675,0.1996273404631279,4.949048030247352
BTC,ablation,baseline,btc/baseline/20260313_130548,0.5620361358506809,1.7650018815400546,2.1448880809526414,0.1791724902202798,3.492084925719055
BTC,ablation,baseline,btc/baseline/20260313_132155,0.3432302652709116,1.3693402270969994,1.8507162686904801,0.14887599319089773,2.5470730892914464
BTC,ablation,baseline,btc/baseline/20260313_155946,0.04655962702747862,1.24964783666934,1.392060396881854,0.03042794890620104,1.6706167766535962
BTC,ablation,baseline,btc/baseline/20260313_160304,0.04655962702747862,1.24964783666934,1.392060396881854,0.03042794890620104,1.6706167766535962
BTC,ablation,baseline,btc/baseline/20260313_160341,0.04655962702747862,1.24964783666934,1.392060396881854,0.03042794890620104,1.6706167766535962
BTC,ablation,baseline,btc/baseline/20260319_101756,0.6413276356569397,1.8120640614420267,2.226295356287278,0.22378581274897869,3.198591323132874
BTC,ablation,baseline,btc/baseline/20260319_104546,0.6413276356569397,1.8120640614420267,2.226295356287278,0.22378581274897869,3.198591323132874
BTC,ablation,baseline,btc/baseline/20260319_105320,1.0026358293354551,2.289009131884959,2.880292120964718,0.1523832319202283,7.422967320042512
BTC,ablation,baseline,btc/baseline/20260319_110056,0.3913289989514235,1.3099861055612416,1.55308128871607,0.2050941269416866,2.1116779905030465
BTC,ablation,baseline,btc/baseline/20260319_110828,0.5624264595670403,1.5957344624637242,1.8329858354633763,0.13301066821451046,4.707352972141864
BTC,ablation,baseline,btc/baseline/20260319_111601,0.7734906203243093,1.9990002431299945,2.708682235640089,0.15150720115151883,5.721585592197876
BTC,ablation,sentiment,btc/sentiment/20260313_133801,0.35820352055020277,1.0682530149523868,1.2720106964826576,0.25749754313590767,1.5377131471382044
BTC,ablation,sentiment,btc/sentiment/20260313_135423,0.5458142826986845,1.5716568488182212,1.820019479498016,0.1760643846894978,3.4493028196951347
BTC,ablation,sentiment,btc/sentiment/20260313_141333,0.2588066060005627,1.015613700350852,1.023990931506846,0.14592109993998004,1.953261120752131
BTC,ablation,sentiment,btc/sentiment/20260313_155959,0.038080295832000566,1.0734243382318027,1.2026717775348634,0.022550282110727626,1.8430107988939055
BTC,ablation,sentiment,btc/sentiment/20260319_112334,0.16644853648399027,0.6968114682742554,0.8213287156513653,0.23670850999071147,0.7715931807654851
BTC,ablation,sentiment,btc/sentiment/20260319_113059,0.3069817814074527,1.0755694953911579,1.227191423136624,0.2643036383389884,1.2814627833271766
BTC,ablation,sentiment,btc/sentiment/20260319_113823,0.05423178926000638,0.3389041110540337,0.38511270837364725,0.36182541740844476,0.16369648449307805
BTC,ablation,sentiment,btc/sentiment/20260319_114549,0.3263534449505423,1.1085749673237735,1.3340022671930247,0.1733733327530882,2.0783365811282777
BTC,ablation,sentiment,btc/sentiment/20260319_115324,0.7407522235572992,2.127720089327748,2.4694707482287828,0.16778150655882962,4.943002887262814
BTC,ablation,embeddings,btc/embeddings/20260313_143314,0.8095066264194635,1.9527620637387653,2.5394669199918827,0.18728537637904774,4.849316413646631
BTC,ablation,embeddings,btc/embeddings/20260313_145143,0.750823000920019,1.9260234709786088,2.305033121298151,0.15996350679391858,5.256689725189342
BTC,ablation,embeddings,btc/embeddings/20260313_151124,0.7022921108992894,1.9527482276726844,2.5391752737494926,0.29250791445678825,2.684889371329777
BTC,ablation,embeddings,btc/embeddings/20260313_160012,0.0049357511976291235,0.2869694232235116,0.25222497636688784,0.016008315406053297,0.3360094650858835
BTC,ablation,embeddings,btc/embeddings/20260319_120241,0.18595478853911196,0.703457603485896,0.8054091922207813,0.20907954804421802,0.9766946159284934
BTC,ablation,embeddings,btc/embeddings/20260319_121156,0.475835205884958,1.6583058299179612,1.9510050705203974,0.12387802947014503,4.263740562402442
BTC,ablation,embeddings,btc/embeddings/20260319_122149,0.6832632914942804,1.9970412380615432,2.1606388086371275,0.1457378304539677,5.239667724800944
BTC,ablation,embeddings,btc/embeddings/20260319_123148,0.0009280673360632097,0.1612672881475863,0.1596973847010864,0.20338467306613395,0.0049719570135155116
