agent_type,model_timestamp,asset,test_start,test_end,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
baseline,20260313_124941,BTC/USDT,2025-01-01,2025-03-19,-0.1077264184140323,-2.3641182758285106,-2.7948462601055986,0.14142545422526986,-4.153151997932552
baseline,20260313_130548,BTC/USDT,2025-01-01,2025-03-19,-0.0013145973568609026,-0.05494647697762157,-0.03689587891532527,0.0168388433706379,-0.6035936640011806
baseline,20260313_132155,BTC/USDT,2025-01-01,2025-03-19,-0.08980916505034686,-2.0908067397773884,-3.2267603714816784,0.1251777553911908,-4.141860699000643
baseline,20260313_155946,BTC/USDT,2025-01-01,2025-03-19,-0.00311907973727632,-1.5856780144024467,-1.3048731481110223,0.00420520772673405,-5.69973628798146
baseline,20260313_160304,BTC/USDT,2025-01-01,2025-03-19,-0.00311907973727632,-1.5856780144024467,-1.3048731481110223,0.00420520772673405,-5.69973628798146
baseline,20260313_160341,BTC/USDT,2025-01-01,2025-03-19,-0.00311907973727632,-1.5856780144024467,-1.3048731481110223,0.00420520772673405,-5.69973628798146
sentiment,20260313_133801,BTC/USDT,2025-01-01,2025-03-19,-0.10911547179969028,-2.7418059311022933,-2.883375511626447,0.17123440867871753,-3.4591405970756512
sentiment,20260313_135423,BTC/USDT,2025-01-01,2025-03-19,0.014493690687726879,0.4644440482575788,0.7262575522760173,0.1373393725035067,0.860879889305395
sentiment,20260313_141333,BTC/USDT,2025-01-01,2025-03-19,0.025847540626763088,0.6718484674417875,0.9016865749716529,0.1397669056894314,1.568200291154502
sentiment,20260313_155959,BTC/USDT,2025-01-01,2025-03-19,-0.006601652360955779,-3.4486860908916825,-2.5514978596408096,0.007996158242895568,-6.270208712199005
embeddings,20260313_143314,BTC/USDT,2025-01-01,2025-03-19,-0.0797756839577678,-1.107094346265866,-1.3556489104859721,0.16689348695555817,-2.8501748792002037
embeddings,20260313_145143,BTC/USDT,2025-01-01,2025-03-19,-0.041123045424428906,-0.48490042935459554,-0.4904425657543435,0.12631440183669373,-2.2030403953174456
embeddings,20260313_151124,BTC/USDT,2025-01-01,2025-03-19,-0.1237640487242212,-2.3680996914310732,-2.8179653379492295,0.17636807322113968,-3.63770786374592
embeddings,20260313_160012,BTC/USDT,2025-01-01,2025-03-19,-0.0027110946702736394,-1.1622455574776498,-1.1958617780748058,0.008121670718128637,-2.568701552109289
