split,train_start,train_end,test_start,test_end,agent_type,agent_sharpe,agent_return,agent_maxdd,bh_sharpe,bh_return,bh_maxdd
1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,baseline,-0.4244917382766334,-0.2777874153720947,0.44968628253869025,-1.34288392792955,-0.6533637591374326,0.6673056490171773
2,2021-01-01,2022-12-31,2023-01-01,2023-12-31,baseline,0.5799191866137682,0.11879128360183633,0.14322080015443783,2.342087283644531,1.5446359847744011,0.20002746848357156
3,2022-01-01,2023-12-31,2024-01-01,2024-12-31,baseline,0.9518278191020862,0.29608557504110866,0.20965280927528884,1.679683469974679,1.1180840456727195,0.26151375053867765
