algorithm,seed,reward_type,period,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
PPO,42,dsr,2024,1.4201282578646874,0.8650760989966015,1.0792654628105365,0.2967609438250596,0.5427887022442933
PPO,123,dsr,2024,0.5257582403391201,0.528335232140654,0.5045603570552026,0.2261673573511774,0.3272067338402695
PPO,7,dsr,2024,0.6475089002314014,0.7321638399680296,0.645651571985348,0.3070861230471547,0.2866541560991417
PPO,2024,dsr,2024,0.8494987422779772,0.6687585254905849,0.784438222625482,0.2064834483689839,0.5303073749652474
PPO,99,dsr,2024,0.4686179453892556,0.5912431001781621,0.5423769808270213,0.1436429255134145,0.4671199798021646
SAC,42,dsr,2024,0.7815781675320526,0.9997500509450492,1.1967780637865864,0.2076444631423492,0.4936662495883301
SAC,123,dsr,2024,1.0095645227958334,0.9528639263259082,1.2109379136163363,0.2211545538335017,0.5659898191731226
SAC,7,dsr,2024,0.654112864608063,0.7970510461014784,0.9235395815851328,0.1922767574089766,0.4616432613813927
SAC,2024,dsr,2024,0.9155005568608634,0.9689219125639252,1.2678721420808956,0.1833333804519216,0.6332357004318607
SAC,99,dsr,2024,0.5631896963110468,0.6132329393072347,0.7358423632017833,0.2797757086819411,0.280264433085899
