algorithm,seed,sharpe,sortino,max_drawdown,calmar,total_return,sharpe_ci_low,sharpe_ci_high,total_return_ci_low,total_return_ci_high
PPO,42,0.12936792858545618,0.1210701250150986,0.21885048794742312,0.03832014898034965,0.050663700629408615,0.27411684165641226,0.654200016758377,0.21906293296451676,0.7242641986410335
PPO,123,0.46746934230658044,0.43845568419589726,0.2808952272897801,0.21571193505795913,0.41641760230274594,0.27411684165641226,0.654200016758377,0.21906293296451676,0.7242641986410335
PPO,7,0.669167177851773,0.6815160313882338,0.30905380257995263,0.30652656798240485,0.7085154872634938,0.27411684165641226,0.654200016758377,0.21906293296451676,0.7242641986410335
PPO,2024,0.3706161170370496,0.3590719243918781,0.3081957728989715,0.14212648412626172,0.2887848306305103,0.27411684165641226,0.654200016758377,0.21906293296451676,0.7242641986410335
PPO,99,0.732598192890879,0.7864511542890265,0.23866245745747072,0.4769647501917991,0.8926643231439397,0.27411684165641226,0.654200016758377,0.21906293296451676,0.7242641986410335
A2C,42,0.3115777099499306,0.3027184002213381,0.26489238382336244,0.14457793291178167,0.24907800920398815,0.10044731389258664,0.45806786939033345,0.055609800185963246,0.42637861958833645
A2C,123,0.45805255697775904,0.46004307032094616,0.35683492823289165,0.17921523732837571,0.4431624812706003,0.10044731389258664,0.45806786939033345,0.055609800185963246,0.42637861958833645
A2C,7,0.5078983334919981,0.48176771300735177,0.2765242347500325,0.25464259293010166,0.49583539915884534,0.10044731389258664,0.45806786939033345,0.055609800185963246,0.42637861958833645
A2C,2024,0.32396454412989406,0.30133752832319927,0.3265910439180284,0.11933414373248406,0.2538973370827906,0.10044731389258664,0.45806786939033345,0.055609800185963246,0.42637861958833645
A2C,99,-0.09315695359674037,-0.08022071559039329,0.32467797017466693,-0.07731073975824157,-0.1396702724745249,0.10044731389258664,0.45806786939033345,0.055609800185963246,0.42637861958833645
SAC,42,0.5621872230131532,0.7092982395912274,0.1900118475670023,0.37861878728278686,0.5085094161659633,0.5752000047918953,0.9227095023409942,0.5110486834728194,1.0057861112630404
SAC,123,0.5760550993127285,0.6868837826732104,0.3407391204564095,0.21114645689967437,0.50854108523648,0.5752000047918953,0.9227095023409942,0.5110486834728194,1.0057861112630404
SAC,7,0.5995153793077133,0.7000592435920753,0.22033605543355517,0.33337142676529846,0.5211424145592103,0.5752000047918953,0.9227095023409942,0.5110486834728194,1.0057861112630404
SAC,2024,0.6341731648304456,0.7668782444969711,0.28791125597808953,0.25703210853842445,0.5257494541719407,0.5752000047918953,0.9227095023409942,0.5110486834728194,1.0057861112630404
SAC,99,1.1381722510298482,1.4301526003493843,0.11622358960198997,1.3231933557994173,1.331556964750178,0.5752000047918953,0.9227095023409942,0.5110486834728194,1.0057861112630404
