algorithm,seed,reward_type,period,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
PPO,42,dsr,2025,-0.1570060302078237,-0.3539207760475032,-0.4569523532982191,0.3014462217622701,-0.3471358756245657
PPO,123,dsr,2025,-0.0926819073606498,-0.2360017474860482,-0.2657546773224965,0.1869620995854467,-0.3262929273511994
PPO,7,dsr,2025,-0.0208104777055828,-0.0188035566062035,-0.0191078147088725,0.1355937977488488,-0.0996925274312306
PPO,2024,dsr,2025,-0.2279762377368913,-0.6739929021038835,-0.8299898480005146,0.3336995036157965,-0.4620280040596329
PPO,99,dsr,2025,-0.2732373921705286,-1.7668308399791646,-1.215007366957516,0.2825094611776227,-0.6605471845465001
SAC,42,dsr,2025,-0.0954277853107853,-0.3601290452757313,-0.3891174965245826,0.1569019103507526,-0.4005334726976468
SAC,123,dsr,2025,-0.030389488439648,-0.0377126090370064,-0.0469878809152472,0.205737747705479,-0.0961120042016218
SAC,7,dsr,2025,-0.0469117609550188,-0.1191481982812563,-0.1498975102194585,0.2060731532601447,-0.1485699938248798
SAC,2024,dsr,2025,0.0089234279261807,0.1131270610761107,0.1466295185844335,0.1626725099146391,0.0354445791642679
SAC,99,dsr,2025,-0.0164774404276216,0.0172387144055319,0.0211088450058263,0.1732993330029631,-0.0617130050234899
