agent_type,asset,seed,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
embeddings,BTC/USDT,42,0.42867588909400456,1.4296220291752595,1.5760663620615956,0.045211533888306565,1.3743828288967324
embeddings,BTC/USDT,43,-0.007437157164856156,0.00012805980259982712,0.00010492811855837626,0.11396244342311435,-0.011061917530090453
embeddings,BTC/USDT,44,0.05225498804630302,0.15359861510914105,0.13663892433230984,0.16618584056262642,0.052015857746973676
baseline,BTC/USDT,42,0.0010437411719819156,0.06143375696072499,0.05621186991733031,0.2655328909599093,0.0006639346539684532
baseline,BTC/USDT,43,0.15279592965316313,0.3159896266272484,0.281680440070887,0.12592381542019226,0.19312076212009724
baseline,BTC/USDT,44,0.47028036834962506,0.7014173982931996,0.6956141029123499,0.19812588490671412,0.33969564457627044
