algorithm,seed,sharpe,sortino,max_drawdown,calmar,total_return,sharpe_ci_low,sharpe_ci_high,total_return_ci_low,total_return_ci_high
PPO,42,1.1428508949409302,1.0816270708491564,0.051404513278088704,1.9879867279288856,0.1659638987030987,-0.7914507848448438,0.49153029152768496,-0.2001096504160677,0.04371386695280342
PPO,123,-0.16779110934553018,-0.20313889208126842,0.2686087859822883,-0.16553732022596385,-0.06926152128054774,-0.7914507848448438,0.49153029152768496,-0.2001096504160677,0.04371386695280342
PPO,7,-0.7819309520903913,-0.9901896762253174,0.349802689977344,-0.4466163550904977,-0.2351478671645123,-0.7914507848448438,0.49153029152768496,-0.2001096504160677,0.04371386695280342
PPO,2024,-0.8031101178388353,-0.6294024378763793,0.2112868642708049,-0.33731901349626847,-0.1101308376218515,-0.7914507848448438,0.49153029152768496,-0.2001096504160677,0.04371386695280342
PPO,99,-0.7845513682280784,-0.852361477500011,0.33861749238580774,-0.4098841048872581,-0.21006084006473125,-0.7914507848448438,0.49153029152768496,-0.2001096504160677,0.04371386695280342
A2C,42,-0.3713768411896159,-0.4243466890274276,0.3143210577702932,-0.2534710342204992,-0.12279914121054802,-0.7022880932104026,0.11384655077932246,-0.2049618081090787,-0.006201984895209889
A2C,123,-0.5631454025613075,-0.6194821946589584,0.35060328357486314,-0.3150904954041156,-0.16867682100098058,-0.7022880932104026,0.11384655077932246,-0.2049618081090787,-0.006201984895209889
A2C,7,-0.89386709322755,-1.042898599795297,0.3527432249014678,-0.47757226017014964,-0.25257313188933095,-0.7022880932104026,0.11384655077932246,-0.2049618081090787,-0.006201984895209889
A2C,2024,-0.4584623451797477,-0.5187518337204072,0.3294041135057796,-0.28543769447725525,-0.1442905036668528,-0.7022880932104026,0.11384655077932246,-0.2049618081090787,-0.006201984895209889
A2C,99,0.5295544546793054,0.3981758204660944,0.2016729009413175,0.2904372630127267,0.09398580006392798,-0.7022880932104026,0.11384655077932246,-0.2049618081090787,-0.006201984895209889
SAC,42,-1.1653351087904886,-1.3336334439682025,0.3228063198239539,-0.495469593116724,-0.24045264154841628,-1.2704966448160677,-0.4980184225920878,-0.22744892431342073,-0.10147270103837953
SAC,123,-0.9130855915221178,-0.9694381956166633,0.2571462298607958,-0.498241279904336,-0.1945564243557958,-1.2704966448160677,-0.4980184225920878,-0.22744892431342073,-0.10147270103837953
SAC,7,-1.5087706803453678,-1.5162598659052806,0.25759296798715914,-0.594950696897038,-0.23089145705723768,-1.2704966448160677,-0.4980184225920878,-0.22744892431342073,-0.10147270103837953
SAC,2024,-0.7448015836378925,-0.8110558410517515,0.218119229852885,-0.40798206435653916,-0.1367727385080798,-1.2704966448160677,-0.4980184225920878,-0.22744892431342073,-0.10147270103837953
SAC,99,-0.193318473510686,-0.2324469781010022,0.15426369857283462,-0.19295150942641778,-0.04656643654219339,-1.2704966448160677,-0.4980184225920878,-0.22744892431342073,-0.10147270103837953
