agent_type,model_timestamp,asset,test_start,test_end,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
baseline,20260313_124941,BTC/USDT,2022-01-01,2022-12-31,2.441448390134572,3.475642698354118,4.112739230907549,0.1292122724756648,22.132143521750066
baseline,20260313_130548,BTC/USDT,2022-01-01,2022-12-31,1.6676922472955389,2.6822999049054186,2.8960794669142937,0.2524281234609287,7.6142360999639696
baseline,20260313_132155,BTC/USDT,2022-01-01,2022-12-31,4.391028517061386,4.501889006673707,7.130834183585459,0.1554968061544263,34.106764504866256
baseline,20260313_155946,BTC/USDT,2022-01-01,2022-12-31,-0.02740006023811259,-0.8209462569737932,-0.790608307132324,0.05070606888309637,-0.5897673801156754
baseline,20260313_160304,BTC/USDT,2022-01-01,2022-12-31,-0.02740006023811259,-0.8209462569737932,-0.790608307132324,0.05070606888309637,-0.5897673801156754
baseline,20260313_160341,BTC/USDT,2022-01-01,2022-12-31,-0.02740006023811259,-0.8209462569737932,-0.790608307132324,0.05070606888309637,-0.5897673801156754
sentiment,20260313_133801,BTC/USDT,2022-01-01,2022-12-31,2.701357410392551,4.056536865524414,5.7547096990545334,0.11586136521424795,27.441346587381748
sentiment,20260313_135423,BTC/USDT,2022-01-01,2022-12-31,2.4730520279652493,3.576962482363065,4.2158441492927725,0.16262683390909394,17.822985931210173
sentiment,20260313_141333,BTC/USDT,2022-01-01,2022-12-31,2.0593275243167337,3.3261218806127886,3.912611349827569,0.1295040560236833,18.48513541618545
sentiment,20260313_155959,BTC/USDT,2022-01-01,2022-12-31,-0.01166187309572242,-0.8193328126558992,-0.6327208238355683,0.018776207522515298,-0.6783766590358526
embeddings,20260313_143314,BTC/USDT,2022-01-01,2022-12-31,3.6726136066430906,4.641498324590209,7.26876402555207,0.07712609904019674,56.938422343125595
embeddings,20260313_145143,BTC/USDT,2022-01-01,2022-12-31,3.379871287690831,4.3315631965114845,6.612116412150336,0.1069017006403632,37.63649049288003
embeddings,20260313_151124,BTC/USDT,2022-01-01,2022-12-31,2.6993674105345336,3.754333839711001,5.174844972400079,0.14362214751071234,22.12010076316529
embeddings,20260313_160012,BTC/USDT,2022-01-01,2022-12-31,-0.044749290863060676,-1.1963047828176334,-0.8779155240663431,0.05399945247014004,-0.903707462867565
